episode,step,target_agent_id,pc_repeat_agent_id,nano_action,nano_called,nano_skip_used,nano_repeat_raw,nano_repeat_slots,nano_remaining_before,nano_remaining_after,nano_safety_interrupted,nano_interrupt_reason,nano_infer_ms,round_trip_ms,pc_repeat_action,pc_repeat_called,pc_repeat_skip_used,pc_repeat_repeat_raw,pc_repeat_repeat_slots,pc_repeat_remaining_before,pc_repeat_remaining_after,pc_repeat_safety_interrupted,pc_repeat_interrupt_reason,pc_repeat_infer_ms,pc_regular_agent_ids,pc_regular_infer_ms,teacher_action_target,target_action_match,reward,delay,drop,offload_rate,joint_actions
0,0,0,1,1,1,0,1.036555528640747,5,0,5,0,,2.282492000176717,73.60909995622933,1,1,0,1.0205323696136475,5,0,5,0,,0.3638999769464135,"[2, 3]",0.2741999924182892,1,1,-0.0125,2.5,0.0,1.0,"[1, 1, 1, 1]"
0,1,0,1,1,1,0,0.9915638566017151,5,5,5,1,obs_changed,1.3769249999313615,302.7220000512898,1,0,1,,,5,4,0,,,"[2, 3]",0.4144000122323632,1,1,-0.0275,5.5,0.0,1.0,"[1, 1, 1, 1]"
0,2,0,1,1,0,1,,,5,4,0,,,,1,0,1,,,4,3,0,,,"[2, 3]",0.305499997921288,1,1,-0.0425,8.5,0.0,1.0,"[1, 1, 1, 1]"
0,3,0,1,1,0,1,,,4,3,0,,,,1,0,1,,,3,2,0,,,"[2, 3]",0.18859992269426584,1,1,-0.0575,11.5,0.0,1.0,"[1, 1, 1, 1]"
0,4,0,1,1,0,1,,,3,2,0,,,,1,1,0,0.9935839772224426,5,2,5,1,obs_changed,0.16880000475794077,"[2, 3]",0.1841000048443675,1,1,-0.0725,14.5,0.0,1.0,"[1, 1, 1, 1]"
0,5,0,1,1,0,1,,,2,1,0,,,,1,0,1,,,5,4,0,,,"[2, 3]",0.1827001105993986,1,1,-0.0875,17.5,0.0,1.0,"[1, 1, 1, 1]"
0,6,0,1,1,0,1,,,1,0,0,,,,1,0,1,,,4,3,0,,,"[2, 3]",0.1876000314950943,1,1,-0.1025,20.5,0.0,1.0,"[1, 1, 1, 1]"
0,7,0,1,1,1,0,1.0088995695114136,5,0,5,0,,1.6219770000134304,85.72400000412017,1,1,0,1.0046826601028442,5,3,5,1,energy_low,0.30880002304911613,"[2, 3]",0.20950008183717728,1,1,-0.1175,23.5,0.0,1.0,"[1, 1, 1, 1]"
0,8,0,1,1,0,1,,,5,4,0,,,,1,1,0,0.9964615106582642,5,5,5,1,energy_low,0.21349999587982893,"[2, 3]",0.23889995645731688,1,1,-0.12875,25.75,0.0,1.0,"[1, 1, 1, 1]"
0,9,0,1,1,0,1,,,4,3,0,,,,1,1,0,0.9862475395202637,5,5,5,1,queue_pressure,0.17799995839595795,"[2, 3]",0.18879992421716452,1,1,-0.13875,27.75,0.0,1.0,"[1, 1, 1, 1]"
0,10,0,1,1,1,0,1.0004348754882812,5,3,5,1,energy_low,1.8395780000446393,29.772400041110814,1,1,0,1.0161943435668945,5,5,5,1,obs_changed,0.35619991831481457,"[2, 3]",0.2389999572187662,1,1,-0.485,97.0,0.25,1.0,"[1, 1, 1, 1]"
0,11,0,1,1,0,1,,,5,4,0,,,,1,0,1,,,5,4,0,,,"[2, 3]",0.22139993961900473,1,1,-0.15375,30.75,0.0,1.0,"[1, 1, 1, 1]"
0,12,0,1,1,0,1,,,4,3,0,,,,1,1,0,0.996735155582428,5,4,5,1,energy_low,0.2028000308200717,"[2, 3]",0.21780002862215042,1,1,-0.49875,99.75,0.25,1.0,"[1, 1, 1, 1]"
0,13,0,1,1,1,0,1.0043575763702393,5,3,5,1,energy_low,1.3319639999735955,42.44609992019832,1,0,1,,,5,4,0,,,"[2, 3]",0.33599999733269215,1,1,-0.17375,34.75,0.0,1.0,"[1, 1, 1, 1]"
0,14,0,1,1,1,0,1.0009504556655884,5,5,5,1,energy_low,1.699233999943317,16.09149994328618,1,0,1,,,4,3,0,,,"[2, 3]",0.33790001180022955,1,1,-0.18125,36.25,0.0,1.0,"[1, 1, 1, 1]"
0,15,0,1,1,1,0,1.0020086765289307,5,5,5,1,queue_pressure|obs_changed,1.2659079998229572,12.13300006929785,1,1,0,0.996042788028717,5,3,5,1,energy_low,0.30069996137171984,"[2, 3]",0.19729998894035816,1,1,-0.5175,103.5,0.25,1.0,"[1, 1, 1, 1]"
0,16,0,1,1,1,0,0.9981299638748169,5,5,5,1,energy_low|obs_changed,1.269607000040196,22.69479993265122,1,1,0,1.0164594650268555,5,5,5,1,energy_low,0.3215000033378601,"[2, 3]",0.1996000064536929,1,1,-0.19625,39.25,0.0,1.0,"[1, 1, 1, 1]"
0,17,0,1,1,1,0,1.0034829378128052,5,5,5,1,energy_low,1.282891000073505,24.06709990464151,1,1,0,0.9989655017852783,5,5,5,1,obs_changed,0.30880002304911613,"[2, 3]",0.2004000125452876,1,1,-0.20125,40.25,0.0,1.0,"[1, 1, 1, 1]"
