policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std,load_name,load_factor,task_min_bits,task_max_bits,avg_task_mbits
mappo,-139.40027500000002,2.98301057333443,139.40027500000002,2.98301057333443,0.113575,0.008849470323132339,0.8118,0.011589758409906566,1.3821318624317644,0.0953887635299017,load_01,0.7,1050000.0,4200000.0,2.625
offload,-156.33870000000002,3.7985540420007236,156.33870000000002,3.7985540420007182,0.005924999999999999,0.0026670442441024487,1.0,0.0,0.5935857180804014,0.008867307804991674,load_01,0.7,1050000.0,4200000.0,2.625
greedy,-166.08739999999997,1.4248697712422824,166.0874,1.4248697712422722,0.5364499999999999,0.004804685213414086,0.26089999999999997,0.0009695359714832654,4.614927723991872,0.026642275562451214,load_01,0.7,1050000.0,4200000.0,2.625
local,-231.65950000000018,1.2459708313198838,231.6595,1.2459708313198998,0.7437,0.004873140671066247,0.0,0.0,4.950408114886283,0.004165316486532927,load_01,0.7,1050000.0,4200000.0,2.625
random,-160.88549999999998,1.9923040838436195,160.88549999999998,1.9923040838436283,0.36302499999999993,0.01290128385084213,0.5012249999999999,0.017013762811324242,4.002206154799461,0.22825939195704523,load_01,0.7,1050000.0,4200000.0,2.625
mappo,-141.17935,2.7449143456581724,141.17935,2.744914345658168,0.125625,0.008661156100660003,0.8059749999999998,0.010756654916841017,1.4244704821825027,0.09495404175387924,load_02,0.75,1125000.0,4500000.0,2.8125
offload,-156.99545,3.694253136291563,156.99545,3.694253136291557,0.01095,0.0033593154064481654,1.0,0.0,0.5935857180804014,0.008867307804991674,load_02,0.75,1125000.0,4500000.0,2.8125
greedy,-169.083725,1.3437264530495183,169.083725,1.3437264530495039,0.5463,0.004749736834815172,0.26175,0.001172603939955859,4.602999984574318,0.027684312857307256,load_02,0.75,1125000.0,4500000.0,2.8125
local,-235.35960000000014,1.2036781764657596,235.3596,1.203678176465788,0.7581249999999998,0.004658661288396057,0.0,0.0,4.950408114886283,0.004165316486532927,load_02,0.75,1125000.0,4500000.0,2.8125
random,-162.92829999999998,1.7116749428556917,162.92829999999998,1.711674942855682,0.37294999999999995,0.014890768952609532,0.4989,0.018576934623344084,4.026337554323674,0.2421123817158796,load_02,0.75,1125000.0,4500000.0,2.8125
mappo,-143.12787500000002,2.7176071074798536,143.12787500000002,2.717607107479851,0.139075,0.008781407916729524,0.7995,0.010796411440844587,1.4746476024836301,0.09471197281472289,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
offload,-157.8612,3.638942007644535,157.8612,3.63894200764453,0.017175,0.00371491924542109,1.0,0.0,0.5935857180804014,0.008867307804991674,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
greedy,-172.0283999999999,1.1432329169946038,172.02840000000003,1.143232916994608,0.555925,0.0039434280771937485,0.26259999999999994,0.0010851267207105351,4.597515289223193,0.02681404984943765,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
local,-238.37882500000015,1.2888201826185623,238.378825,1.2888201826185834,0.7695000000000001,0.005147815070493499,0.0,0.0,4.950408114886283,0.004165316486532927,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
random,-164.29679999999996,1.8201969014367627,164.29679999999996,1.820196901436765,0.37872500000000003,0.016668626968049893,0.498875,0.01962340757870559,4.019165331423283,0.25721277807625725,load_03,0.7999999999999999,1200000.0,4800000.0,3.0
mappo,-144.81714999999997,2.5263740078420724,144.81715,2.526374007842071,0.15100000000000002,0.007582875444051551,0.7932500000000001,0.01076742773367902,1.5109771921008828,0.09228820160286423,load_04,0.85,1275000.0,5100000.0,3.1875
offload,-158.68825,3.53922215147623,158.68825,3.5392221514762245,0.023225000000000003,0.004664292550859133,1.0,0.0,0.5935857180804014,0.008867307804991674,load_04,0.85,1275000.0,5100000.0,3.1875
greedy,-174.40779999999992,1.0955592053832568,174.40779999999998,1.0955592053832597,0.5636249999999999,0.003667850187780295,0.2637,0.0014568802284333473,4.590418891763687,0.02698574875216777,load_04,0.85,1275000.0,5100000.0,3.1875
