episode,stage,load_factor,task_min_bits,task_max_bits,steps,episode_reward,reward_ma,episode_delay_mean,episode_drop_rate,episode_offload_rate,episode_energy_mean,actor_loss,critic_loss,entropy,total_loss
1,phase1,1.0,1500000.0,6000000.0,200,-172.05875000000003,-172.05875000000003,172.05875,0.38875,0.515,4.087300435304642,-0.009525229641217358,138.77121329794124,0.691886657354783,69.37331444876534
2,phase1,1.0,1500000.0,6000000.0,200,-171.10000000000002,-171.57937500000003,171.1,0.4475,0.44375,4.5060636639595035,-0.017618764952129246,58.78899691056232,0.6869631117703964,29.374131883893693
3,phase1,1.0,1500000.0,6000000.0,200,-169.9725,-171.04375000000002,169.9725,0.42125,0.46875,4.093097192049027,-0.0021647389560025565,69.54852345525002,0.6887302605473266,34.769341955379566
4,phase1,1.0,1500000.0,6000000.0,200,-170.91625,-171.011875,170.91625,0.44375,0.45,4.33974352478981,0.0018278362457545437,62.7765785528689,0.6892971274804096,31.387359735917073
5,phase1,1.0,1500000.0,6000000.0,200,-172.36375,-171.28225,172.36375,0.39875,0.50875,3.7099139147996905,0.008689107107264655,62.57384093926878,0.6926069454270967,31.29283905029297
6,phase1,1.0,1500000.0,6000000.0,200,-172.92749999999995,-171.55645833333332,172.9275,0.41125,0.4875,3.8587097823619843,0.0026191644636648042,53.16672196680186,0.6922374708311898,26.58321088674117
7,phase1,1.0,1500000.0,6000000.0,200,-172.2825,-171.66017857142856,172.2825,0.4025,0.49125,3.3883370572328566,0.009343273956708762,46.94672662384656,0.6902819993544598,23.479945396890447
8,phase1,1.0,1500000.0,6000000.0,200,-171.22875,-171.60625,171.22875,0.4275,0.46375,4.224313613176346,-0.002157373239799422,39.7698629340347,0.6914018051964896,19.880008541807836
9,phase1,1.0,1500000.0,6000000.0,200,-173.16874999999996,-171.7798611111111,173.16875,0.37125,0.54,3.181483719944954,-0.021290841170263534,17.724038610653,0.6748696881897596,8.838029005089584
10,phase1,1.0,1500000.0,6000000.0,200,-177.00250000000008,-172.302125,177.0025,0.31,0.61375,1.8620156213641166,0.008202594785703992,24.72171098358777,0.6302586745242683,12.366537016265246
11,phase1,1.0,1500000.0,6000000.0,200,-178.10750000000007,-172.82988636363638,178.1075,0.24875,0.71,1.1403424222767353,-0.004990211326857002,26.640611395543935,0.6276495967592511,13.312804903302874
12,phase1,1.0,1500000.0,6000000.0,200,-174.83874999999995,-172.99729166666668,174.83875,0.255,0.67625,1.1368672446906567,0.009865521852459227,25.286324948680644,0.6530653104490164,12.650415702741974
13,phase1,1.0,1500000.0,6000000.0,200,-176.34125,-173.25451923076923,176.34125,0.32,0.6075,2.167198228240013,-0.004276900153074946,37.236342760981344,0.6323278339541688,18.61136512367093
14,phase1,1.0,1500000.0,6000000.0,200,-180.47625000000005,-173.77035714285716,180.47625,0.26625,0.6975,1.147549898326397,-0.008419125854056709,20.929714319657307,0.5765949597164076,10.454131612972338
15,phase1,1.0,1500000.0,6000000.0,200,-168.70875000000004,-173.4329166666667,168.70875,0.2025,0.755,0.8436725571751594,0.0012372958911012631,18.023114301720444,0.5642729012333617,9.01053725456705
16,phase1,1.0,1500000.0,6000000.0,200,-175.17749999999998,-173.54195312500002,175.1775,0.2325,0.725,1.0096612584590912,-0.016119339265765583,16.23651627131871,0.5898721169452278,8.099779274998879
