policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std,load_name,load_factor,task_min_bits,task_max_bits,avg_task_mbits
mappo,-140.463325,3.167247164435544,140.463325,3.167247164435545,0.09292500000000001,0.012069097936465675,0.8417999999999999,0.015933769171166002,1.234314903521538,0.11140329740448592,load_01,0.7,1050000.0,4200000.0,2.625
pruned_p10,-139.157075,2.711171640292267,139.157075,2.7111716402922545,0.13045,0.010373523991392705,0.7896,0.014695747684279283,1.5983814929753537,0.09977049079338866,load_01,0.7,1050000.0,4200000.0,2.625
distilled_p10,-140.46954999999997,3.153977119844083,140.46955,3.1539771198440874,0.09282499999999999,0.012067026352834404,0.8419500000000001,0.016021782048199262,1.2327117714434863,0.11452502215218127,load_01,0.7,1050000.0,4200000.0,2.625
pruned_p25,-140.13515,3.0788275024755754,140.13515,3.0788275024755745,0.100125,0.01027512165378104,0.8296250000000001,0.014678321600237545,1.3215871367752552,0.11627095003028329,load_01,0.7,1050000.0,4200000.0,2.625
distilled_p25,-140.52329999999998,3.1166147476067665,140.5233,3.1166147476067683,0.0932,0.011792900406600575,0.8417250000000002,0.01592343006390269,1.2316910502940417,0.11477175960190122,load_01,0.7,1050000.0,4200000.0,2.625
pruned_p40,-142.768475,3.5511340467694206,142.768475,3.5511340467694272,0.051975,0.01509157463620016,0.89685,0.021934903692517087,0.8856168627619744,0.10760748835632025,load_01,0.7,1050000.0,4200000.0,2.625
distilled_p40,-140.559,3.0881913294839753,140.559,3.088191329483976,0.093225,0.012106532327632053,0.84185,0.015961359591212778,1.232294241461158,0.11187904828971314,load_01,0.7,1050000.0,4200000.0,2.625
pruned_p50,-140.03437499999998,2.9443545690227286,140.034375,2.944354569022726,0.10462500000000001,0.00937166607386328,0.8229500000000002,0.013373855091184453,1.3799155406355856,0.09695454492928504,load_01,0.7,1050000.0,4200000.0,2.625
distilled_p50,-140.5331,3.0640435930319248,140.5331,3.0640435930319283,0.09282499999999999,0.011863310035567644,0.842325,0.015674441776344063,1.2317743276000024,0.11474549225694884,load_01,0.7,1050000.0,4200000.0,2.625
offload,-156.33870000000002,3.7985540420007236,156.33870000000002,3.7985540420007182,0.005924999999999999,0.0026670442441024487,1.0,0.0,0.5935857180804014,0.008867307804991674,load_01,0.7,1050000.0,4200000.0,2.625
