episode,step,target_agent_id,nano_action,teacher_action_target,action_match,repeat_pred,reward,delay,drop,offload_rate,nano_infer_ms,round_trip_ms,other_policy,joint_actions
0,0,0,1,1,1,,-0.0125,2.5,0.0,1.0,2.2286500006885035,13.455600012093782,teacher,"[1, 1, 1, 1]"
0,1,0,1,1,1,,-0.0275,5.5,0.0,1.0,1.8447279999236343,18.955099978484213,teacher,"[1, 1, 1, 1]"
0,2,0,1,1,1,,-0.0425,8.5,0.0,1.0,1.3689500010514166,112.00259998440742,teacher,"[1, 1, 1, 1]"
0,3,0,1,1,1,,-0.0575,11.5,0.0,1.0,2.11361699984991,138.2926000514999,teacher,"[1, 1, 1, 1]"
0,4,0,1,1,1,,-0.0725,14.5,0.0,1.0,1.6364990005968139,10.310799931176007,teacher,"[1, 1, 1, 1]"
0,5,0,1,1,1,,-0.0875,17.5,0.0,1.0,1.7428430001018569,11.309799971058965,teacher,"[1, 1, 1, 1]"
0,6,0,1,1,1,,-0.1025,20.5,0.0,1.0,1.74689999948896,10.859200032427907,teacher,"[1, 1, 1, 1]"
0,7,0,1,1,1,,-0.1175,23.5,0.0,1.0,1.7203269999299664,48.34889993071556,teacher,"[1, 1, 1, 1]"
0,8,0,1,1,1,,-0.12875,25.75,0.0,1.0,1.7556359998707194,75.31860005110502,teacher,"[1, 1, 1, 1]"
0,9,0,1,1,1,,-0.13875,27.75,0.0,1.0,1.7878250000649132,13.55359994340688,teacher,"[1, 1, 1, 1]"
0,10,0,1,1,1,,-0.485,97.0,0.25,1.0,0.8696280001458945,8.3030000096187,teacher,"[1, 1, 1, 1]"
0,11,0,1,1,1,,-0.15375,30.75,0.0,1.0,1.3646339994011214,74.09520004875958,teacher,"[1, 1, 1, 1]"
0,12,0,1,1,1,,-0.49875,99.75,0.25,1.0,0.6639600014750613,93.36359996814281,teacher,"[1, 1, 1, 1]"
0,13,0,1,1,1,,-0.17375,34.75,0.0,1.0,1.4392570010386407,13.631699956022203,teacher,"[1, 1, 1, 1]"
0,14,0,1,1,1,,-0.18125,36.25,0.0,1.0,0.6853329996374669,8.536500041373074,teacher,"[1, 1, 1, 1]"
0,15,0,1,1,1,,-0.5175,103.5,0.25,1.0,0.7118539997463813,8.60659999307245,teacher,"[1, 1, 1, 1]"
0,16,0,1,1,1,,-0.19625,39.25,0.0,1.0,0.6940690000192262,8.612099918536842,teacher,"[1, 1, 1, 1]"
0,17,0,1,1,1,,-0.20125,40.25,0.0,1.0,1.1612550006248057,9.490500087849796,teacher,"[1, 1, 1, 1]"
0,18,0,1,1,1,,-0.20625,41.25,0.0,1.0,1.4129430001048604,10.31050004530698,teacher,"[1, 1, 1, 1]"
0,19,0,1,1,1,,-0.21375,42.75,0.0,1.0,1.7876170004456071,10.654699988663197,teacher,"[1, 1, 1, 1]"
0,20,0,1,1,1,,-0.22125,44.25,0.0,1.0,1.3821590000588913,140.88000007905066,teacher,"[1, 1, 1, 1]"
0,21,0,1,1,1,,-0.5475,109.5,0.25,1.0,1.4098240008024732,102.82889998052269,teacher,"[1, 1, 1, 1]"
0,22,0,1,1,1,,-0.23625,47.25,0.0,1.0,1.9464309989416506,289.2804000293836,teacher,"[1, 1, 1, 1]"
0,23,0,1,1,1,,-0.24125,48.25,0.0,1.0,1.4790690001973417,10.389600065536797,teacher,"[1, 1, 1, 1]"
0,24,0,1,1,1,,-0.24875,49.75,0.0,1.0,1.3624780003738124,38.832299993373454,teacher,"[1, 1, 1, 1]"
0,25,0,1,1,1,,-0.25625,51.25,0.0,1.0,1.3564460005,10.987199959345162,teacher,"[1, 1, 1, 1]"
0,26,0,1,1,1,,-0.26375,52.75,0.0,1.0,1.7464159991504857,11.17129996418953,teacher,"[1, 1, 1, 1]"
0,27,0,1,1,1,,-0.57875,115.75,0.25,1.0,1.7776710010366514,18.79859995096922,teacher,"[1, 1, 1, 1]"
0,28,0,1,1,1,,-0.27875,55.75,0.0,1.0,1.3268050006445264,13.782199937850237,teacher,"[1, 1, 1, 1]"
